time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
812,170.59,3.58,22.28,51.3,654.77,947.72,0.0,1653.79,78.37,97.96,2736.2,3420.25,122.82,153.52,345.6,283.45,58.96,286.64,341.74
813,181.86,2.46,22.33,51.3,744.11,651.56,0.0,1446.97,73.09,91.37,2757.24,3446.55,123.49,154.36,345.6,264.37,54.99,290.61,314.4
814,188.29,1.12,22.38,51.3,797.72,296.16,0.0,1145.18,59.9,74.87,2775.71,3469.64,124.03,155.04,345.6,216.64,45.06,300.54,249.12
815,189.9,0.89,22.43,51.3,811.41,236.93,0.0,1099.64,58.01,72.51,2792.08,3490.11,124.47,155.59,345.6,209.8,43.64,301.96,240.13
816,194.73,1.34,22.48,51.3,853.2,355.4,0.0,1259.89,68.15,85.19,2809.61,3512.01,124.96,156.19,345.6,246.49,51.27,294.33,289.43
817,199.56,0.22,22.54,51.3,896.03,59.23,0.0,1006.56,55.8,69.75,2826.82,3533.53,125.42,156.77,345.6,201.81,41.98,303.62,229.71
818,196.34,-3.8,22.59,51.3,867.36,-1006.96,0.0,-88.3,-4.82,-6.02,2833.9,3542.38,125.42,156.78,345.6,-17.42,-3.62,349.22,-17.24
819,172.2,-7.6,22.65,51.3,667.18,-2013.91,0.0,-1295.43,-61.96,-77.46,2824.63,3530.78,124.73,155.91,345.6,-224.12,-46.62,392.22,-197.48
820,141.62,-7.38,22.69,51.3,451.28,-1954.68,0.0,-1452.1,-57.12,-71.41,2808.09,3510.11,123.76,154.7,345.6,-206.61,-42.98,388.58,-183.76
821,119.09,-6.26,22.73,51.3,319.11,-1658.51,0.0,-1288.1,-42.61,-53.26,2794.23,3492.79,122.96,153.69,345.6,-154.12,-32.06,377.66,-141.04
822,96.56,-5.36,22.76,51.3,209.79,-1421.58,0.0,-1160.5,-31.13,-38.91,2783.99,3479.99,122.34,152.93,345.6,-112.58,-23.42,369.02,-105.44
823,80.47,-2.46,22.78,51.3,145.69,-651.56,0.0,-454.57,-10.16,-12.7,2778.26,3472.82,121.96,152.45,345.6,-36.75,-7.64,353.24,-35.95
824,78.86,0.45,22.8,51.3,139.92,118.47,0.0,309.68,6.78,8.48,2777.79,3472.24,121.82,152.28,345.6,24.54,5.1,340.5,24.9
825,83.69,2.24,22.82,51.3,157.57,592.33,0.0,801.2,18.62,23.28,2781.32,3476.65,121.85,152.32,345.6,67.36,14.01,331.59,70.21
826,94.95,3.35,22.85,51.3,202.85,888.49,0.0,1142.64,30.14,37.67,2788.09,3485.11,122.02,152.52,345.6,109.0,22.67,322.93,116.66
827,107.83,2.01,22.88,51.3,261.59,533.09,0.0,845.99,25.34,31.67,2795.8,3494.75,122.21,152.76,345.6,91.65,19.06,326.54,97.0
828,109.44,-0.45,22.91,51.3,269.46,-118.47,0.0,202.3,6.15,7.69,2800.17,3500.21,122.24,152.79,345.6,22.24,4.63,340.97,22.54
829,104.61,0.0,22.94,51.3,246.21,0.0,0.0,297.51,8.64,10.81,2802.22,3502.78,122.17,152.71,345.6,31.27,6.5,339.1,31.87
830,109.44,2.24,22.97,51.3,269.46,592.33,0.0,913.09,27.76,34.7,2807.28,3509.1,122.23,152.79,345.6,100.39,20.88,324.72,106.85
831,120.7,1.79,23.0,51.3,327.79,473.86,0.0,852.95,28.6,35.75,2815.11,3518.88,122.4,153.0,345.6,103.44,21.51,324.09,110.3
832,122.31,0.45,23.03,51.3,336.59,118.47,0.0,506.36,17.2,21.5,2821.47,3526.84,122.5,153.12,345.6,62.22,12.94,332.66,64.64
833,123.92,1.34,23.07,51.3,345.51,355.4,0.0,752.21,25.89,32.37,2827.45,3534.32,122.57,153.22,345.6,93.65,19.48,326.12,99.24
834,131.97,2.68,23.1,51.3,391.84,710.79,0.0,1153.93,42.3,52.87,2836.93,3546.16,122.79,153.49,345.6,152.99,31.82,313.78,168.51
835,143.23,0.0,23.14,51.3,461.59,0.0,0.0,512.89,20.41,25.51,2845.63,3557.04,122.97,153.71,345.6,73.81,15.35,330.25,77.24
836,131.97,-3.58,23.18,51.3,391.84,-947.72,0.0,-504.59,-18.5,-23.12,2845.9,3557.37,122.78,153.47,345.6,-66.9,-13.92,359.52,-64.31
837,117.48,-3.58,23.21,51.3,310.54,-947.72,0.0,-585.88,-19.12,-23.9,2840.68,3550.84,122.37,152.96,345.6,-69.15,-14.38,359.98,-66.39
838,106.22,-2.24,23.25,51.3,253.84,-592.33,0.0,-287.18,-8.47,-10.59,2836.84,3546.05,122.04,152.55,345.6,-30.65,-6.37,351.97,-30.09
839,101.39,-0.89,23.27,51.3,231.29,-236.93,0.0,45.66,1.29,1.61,2835.84,3544.81,121.85,152.31,345.6,4.65,0.97,344.63,4.66
840,99.78,0.0,23.3,51.3,224.01,0.0,0.0,275.31,7.63,9.54,2837.08,3546.35,121.75,152.19,345.6,27.6,5.74,339.86,28.06
841,101.39,0.89,23.33,51.3,231.29,236.93,0.0,519.52,14.63,18.29,2840.17,3550.22,121.74,152.17,345.6,52.92,11.01,334.59,54.66
842,106.22,2.68,23.36,51.3,253.84,710.79,0.0,1015.94,29.97,37.47,2846.37,3557.96,121.85,152.32,345.6,108.42,22.55,323.05,115.98
843,120.7,3.58,23.39,51.3,327.79,947.72,0.0,1326.82,44.49,55.61,2856.71,3570.89,122.13,152.67,345.6,160.9,33.47,312.13,178.15
844,131.97,-0.22,23.43,51.3,391.84,-59.23,0.0,383.9,14.07,17.59,2864.84,3581.06,122.3,152.87,345.6,50.9,10.59,335.01,52.51
845,119.09,-5.36,23.46,51.3,319.11,-1421.58,0.0,-1051.17,-34.77,-43.47,2861.97,3577.46,121.99,152.49,345.6,-125.77,-26.16,371.76,-116.92
846,93.34,-6.04,23.49,51.3,196.04,-1599.28,0.0,-1351.95,-35.05,-43.82,2852.27,3565.34,121.43,151.78,345.6,-126.79,-26.37,371.97,-117.8
847,75.64,-3.8,23.51,51.3,128.73,-1006.96,0.0,-826.93,-17.37,-21.72,2844.99,3556.24,121.0,151.24,345.6,-62.84,-13.07,358.67,-60.55
848,65.98,-1.12,23.53,51.3,97.96,-296.16,0.0,-146.9,-2.69,-3.37,2842.2,3552.75,120.78,150.97,345.6,-9.74,-2.03,347.63,-9.68
849,67.59,1.79,23.55,51.3,102.8,473.86,0.0,627.96,11.79,14.74,2843.47,3554.33,120.73,150.92,345.6,42.64,8.87,336.73,43.77
850,78.86,4.92,23.57,51.3,139.92,1303.12,0.0,1494.34,32.73,40.92,2849.65,3562.06,120.89,151.12,345.6,118.39,24.63,320.97,127.48
851,103.0,5.81,23.6,51.3,238.69,1540.05,0.0,1830.04,52.36,65.45,2861.47,3576.84,121.26,151.58,345.6,189.37,39.39,306.21,213.74
